Level1,Level2,Difference,CI_low,CI_high,BF,Std_Difference
(Intact-Hood-ULD),(Water-Hood-ULD),-0.07610798964692633,-0.22549384077552528,0.059278815023765447,0.0026643850701135877,-0.2268516697613688
(Intact-Hood-ULD),(Water-Open-AIXR),-0.06472775872323691,-0.20337409160277425,0.0773621349760463,0.0023688459675380944,-0.19293112608014218
(Intact-Hood-ULD),(Water-Open-TTI),-0.08846584269681171,-0.22532757568026052,0.06485681948048613,0.003617433081447435,-0.2636861678480666
(Intact-Hood-ULD),(Water-Open-ULD),-0.04829542758780757,-0.1952203173513358,0.09232536588530675,0.0016795863358148146,-0.14395201398643018
(Intact-Open-AIXR),(Intact-Open-TTI),-0.010474765444181175,-0.13195055551041218,0.10633488558800279,0.0013954600104617724,-0.031221663354855815
(Intact-Open-AIXR),(Intact-Open-ULD),-0.06319592497409444,-0.18665749430574158,0.0581889132636681,0.0032774603438574202,-0.18836525795772988
(Intact-Open-AIXR),(Water-Hood-AIXR),-0.09791492253300821,-0.2343572698776565,0.04750369529889362,0.004142561402069108,-0.29185061613390073
(Intact-Open-AIXR),(Water-Hood-TTI),-0.12902408536761395,-0.2660604410994989,0.015988800536885978,0.008182408386840492,-0.3845763019212619
(Intact-Open-AIXR),(Water-Hood-ULD),-0.12559587205059936,-0.2703170381623994,0.02268328940687113,0.00895342824598457,-0.37435798031178646
(Intact-Open-AIXR),(Water-Open-AIXR),-0.11244096930705336,-0.2489375146980668,0.02782252238216143,0.005649439339048803,-0.335147751966958
(Intact-Open-AIXR),(Water-Open-TTI),-0.1348822571395107,-0.28114736623711223,0.005458935492567457,0.010084174056943687,-0.40203749166453034
(Intact-Open-AIXR),(Water-Open-ULD),-0.09731715730781175,-0.24195497199003896,0.044896018702781454,0.003878926174650384,-0.2900688841489911
(Intact-Open-TTI),(Intact-Open-ULD),-0.05171511281893395,-0.1702059919726729,0.06892342550749958,0.002358379478544373,-0.1541449163129554
(Intact-Open-TTI),(Water-Hood-AIXR),-0.08765878744681464,-0.22574390032731526,0.0585003819308544,0.003685918595824599,-0.261280614477115
(Intact-Open-TTI),(Water-Hood-TTI),-0.11887444577150914,-0.2513405316651612,0.029669045091168335,0.005587924680234774,-0.3543237265933119
(Intact-Open-TTI),(Water-Hood-ULD),-0.11456067968377145,-0.2601423437098414,0.02378544665740185,0.0054133576570220355,-0.34146587757505464
(Intact-Open-TTI),(Water-Open-AIXR),-0.10263619446544979,-0.2396709620919023,0.03933922305781118,0.004510557089441977,-0.3059230995386061
(Intact-Open-TTI),(Water-Open-TTI),-0.1262396213987274,-0.2669798058838529,0.017814318170648435,0.009777979507442039,-0.37627677510860236
(Intact-Open-TTI),(Water-Open-ULD),-0.08779532198726869,-0.2253298143081712,0.05808722284536222,0.001742231665644172,-0.2616875768555169
(Intact-Open-ULD),(Water-Hood-AIXR),-0.03535028754917033,-0.17940910887603204,0.10341591184658461,0.002048958014009419,-0.10536701592403286
(Intact-Open-ULD),(Water-Hood-TTI),-0.06735198907636819,-0.21095465944677255,0.07715596437771328,0.0023604220972455745,-0.20075305174403124
(Intact-Open-ULD),(Water-Hood-ULD),-0.06144597844306866,-0.20065888799054926,0.08372032565848689,0.0027304559181292043,-0.18314927085311783
(Intact-Open-ULD),(Water-Open-AIXR),-0.04966555000169362,-0.18858135050304356,0.09544738521095437,0.0024655693075482333,-0.14803587638786048
