Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
(DRA-Hood-TTI) - (Open-AIXR),-73.94095842023891,8.580700655883092,0.95,-91.43324108685701,-57.94000373933049,17.89465705274243
(DRA-Hood-TTI) - (Open-TTI),-26.69818766251018,8.591804778578185,0.95,-42.28265163090859,-8.54782286157511,3.132099354857056
(DRA-Hood-TTI) - (Open-ULD),-59.35564088838608,8.585738412439365,0.95,-75.66422154224315,-42.2586282973673,11.531994962978432
(DRA-Hood-ULD) - (DRA-Open-AIXR),-58.39498868712034,7.336420858180014,0.95,-72.76882025917529,-44.182865600693624,13.213781245145823
(DRA-Hood-ULD) - (DRA-Open-TTI),-13.548766906585724,6.818314128624661,0.95,-26.479208084494914,-0.18150284340251588,0.3011248800464088
(DRA-Hood-ULD) - (DRA-Open-ULD),-19.1004165319383,7.070504496474102,0.95,-32.453602349757944,-4.59818973742594,2.07486206175954
(DRA-Hood-ULD) - (Hood-AIXR),-17.3581018718402,7.8763827055748115,0.95,-31.86767334234395,-1.26518602180575,0.9691455156529711
(DRA-Hood-ULD) - (Hood-TTI),-13.12880091921189,7.884061278572614,0.95,-29.070772805513446,1.8752404122853257,-0.1454170636818288
(DRA-Hood-ULD) - (Hood-ULD),-16.76599229971411,7.7582893830351045,0.95,-30.910253991913375,-1.2606365096752477,0.769557527158656
(DRA-Hood-ULD) - (Open-AIXR),-73.35971425518585,8.345437006475347,0.95,-89.23708040872778,-56.45106990273651,15.975596385809958
(DRA-Hood-ULD) - (Open-TTI),-26.11694349745711,8.59394415787258,0.95,-43.45733423754142,-9.260523053330246,2.846180824499715
(DRA-Hood-ULD) - (Open-ULD),-58.77439672333301,8.53898577711964,0.95,-75.85445844174329,-42.42134014913818,12.10576569692243
(DRA-Open-AIXR) - (DRA-Open-TTI),44.84622178053461,6.9731022474129025,0.95,31.764652295707783,58.68809920837396,12.250401492368633
(DRA-Open-AIXR) - (DRA-Open-ULD),39.29457215518203,7.337142477572039,0.95,24.123335133701445,52.80095987185669,9.258029979611795
(DRA-Open-AIXR) - (Hood-AIXR),41.036886815280134,8.08702775711071,0.95,23.424153437026632,55.337521415901186,6.974468590380396
(DRA-Open-AIXR) - (Hood-TTI),45.26618776790844,7.958481321876115,0.95,27.69164742308603,59.61178015113842,9.267769853709503
(DRA-Open-AIXR) - (Hood-ULD),41.628996387406225,8.050635889497773,0.95,25.890408709946172,57.113208823023584,8.65032604154336
(DRA-Open-AIXR) - (Open-AIXR),-14.964725568065512,8.594290260795482,0.95,-32.7876887206761,1.123149803703896,-0.08233276417035275
(DRA-Open-AIXR) - (Open-TTI),32.278045189663224,8.503977918551415,0.95,15.332917749024148,48.669455965782475,4.224881081832149
(DRA-Open-AIXR) - (Open-ULD),-0.379408036212676,8.547696869171164,0.95,-16.804993034088355,16.743328213878883,-1.6250320611059932
